Company Name,Industry,Symbol,Series,ISIN Code,ID,Country
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,532921,India
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,508869,India
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,500820,India
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,532215,India
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,532977,India
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,500034,India
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01018,532978,India
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,500547,India
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,532454,India
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,500825,India
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,500087,India
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,533278,India
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,532488,India
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023,505200,India
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,500300,India
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,532281,India
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,532281,India
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,500180,India
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,540777,India
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,500182,India
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,500440,India
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,500696,India
Housing Development Finance Corporation Ltd.,Financial Services,HDFC,EQ,INE001A01036,500010,India
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,532174,India
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,500875,India
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,532187,India
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,500209,India
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,500228,India
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,500247,India
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,500510,India
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,500520,India
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,532500,India
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,532555,India
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016,500790,India
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,500312,India
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,532898,India
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,500325,India
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,540719,India
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,500387,India
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,500112,India
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,524715,India
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,532540,India
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,500800,India
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,500570,India
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,500470,India
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,532755,India
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,500114,India
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,512070,India
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,532538,India
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,507685,India
